company,Use Case Name,Business Function,AI Type,Outcome,Source Link
TikTok,Content Recommendation Algorithm,Engagement/UX,Recommendation,Massive user retention through short-form content personalization,https://www.tiktok.com/business/en/blog/how-tiktok-recommends-videos
Intel,AI Chip Design Automation,Engineering/R&D,Deep Reinforcement Learning,Reduced chip design time and resource cost,https://www.intel.com/content/www/us/en/research/blog/using-ai-for-chip-design.html
Walmart,In-store Customer Heat Mapping,Retail Analytics,Computer Vision,Optimized product placement by analyzing foot traffic,https://www.cbinsights.com/company/walmart/technology
Samsung,AI-enhanced Camera Scene Detection,Consumer Electronics,Computer Vision,Improved mobile photography with smart auto-tuning,https://news.samsung.com/global/what-is-scene-optimizer-the-intelligent-camera-feature-of-the-galaxy-s10
Microsoft,Translator for Teams,Communication Tools,NLP + Speech Recognition,Enabled real-time multilingual collaboration in meetings,https://www.microsoft.com/en-us/translator/business/teams/
L’Oréal,AI Skin Diagnostic Tool,Customer Experience,Computer Vision,Enabled personalized skincare advice online,https://www.loreal.com/en/articles/technology/ai-skin-diagnosis/
Baidu,Autonomous Taxi Platform,Mobility,Computer Vision + RL,Launched self-driving taxis in China,https://apollo.auto/
Nestlé,AI in Product R&D,Food & Beverage,ML + Simulation,Accelerated new product formulation using ingredient simulations,https://www.nestle.com/research/technology/ai
Telstra,AskTelstra generative AI assistant,Customer Support,Conversational AI,Streamlined customer interactions and reduced support time,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Bunnings,Ask Lionel in-store assistant,Retail,Conversational AI,Real-time product info for staff and customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
National Australia Bank,Generative AI for banking tasks,Financial Services,Generative AI,Freed banker time for customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Macquarie Group,Macquarie AI Chat internal assistant,Operations,Conversational AI,Used by 6000 staff weekly to boost productivity,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
ANZ,GitHub Copilot for code generation,Software Development,Code Generation,Engineers work up to 2× faster,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
KPMG Australia,KymChat internal AI agent,Operations,Conversational AI,"Saved 200,000+ staff hours annually",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Tyro Payments,AI agent for healthcare customer support,Customer Support,Conversational AI,45% of queries resolved without human agent,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Coles,Supply chain AI optimization,Supply Chain,Machine Learning,Enhanced decision-making in merchandise planning,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Rio Tinto,AI-driven operations in mining,Operations,Machine Learning,Improved efficiency and sustainability,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
BHP,AI in predictive maintenance & resource discovery,Operations,Machine Learning,Reduced downtime and improved energy efficiency,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Westpac,Generative AI for banking productivity,Financial Services,Generative AI,Delivered faster results to customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
PepsiCo,"AI in forecasting, logistics & R&D",Supply Chain,Machine Learning,Enhanced efficiency across operations,https://www.wsj.com/articles/ai-productivity-businesses-efficiency-7c2cf8b9
TAL,Microsoft Copilot for document summarization,Operations,Generative AI,Saved up to 6 hours per employee per week,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Commonwealth Bank,AI chatbot & fraud detection,Customer Support,Machine Learning,"Handled 50,000 inquiries/day and reduced fraud cases",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Abercrombie & Fitch,Global Data Cloud analytics,Retail,Data Analytics,Improved product assortment using customer insights,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
H&R Block,Generative tax assistant,Customer Support,Generative AI,Provided real-time tax filing answers to users,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Heritage Grocers,Personalized offers via Generative AI,Marketing/UX,Generative AI,"Optimized assortment by location, saved $500K",https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Walmart,AI-powered personalized search,Retail,Generative AI,Improved customer satisfaction and product discovery,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
City of Rome,Virtual AI tour guide,Public Services,Conversational AI,Provided tailored itineraries to tourists,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Ally Financial,AI-generated call summaries,Customer Support,Generative AI,Improved CSR productivity by 14%,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Telstra,AskTelstra generative AI assistant,Customer Support,Conversational AI,Streamlined customer interactions and reduced support time,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Bunnings,Ask Lionel in-store assistant,Retail,Conversational AI,Real-time product info for staff and customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
National Australia Bank,Generative AI for banking tasks,Financial Services,Generative AI,Freed banker time for customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Macquarie Group,Macquarie AI Chat internal assistant,Operations,Conversational AI,Used by 6000 staff weekly to boost productivity,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
ANZ,GitHub Copilot for code generation,Software Development,Code Generation,Engineers work up to 2× faster,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
KPMG Australia,KymChat internal AI agent,Operations,Conversational AI,"Saved 200,000+ staff hours annually",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Tyro Payments,AI agent for healthcare customer support,Customer Support,Conversational AI,45% of queries resolved without human agent,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Coles,Supply chain AI optimization,Supply Chain,Machine Learning,Enhanced decision-making in merchandise planning,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Rio Tinto,AI-driven operations in mining,Operations,Machine Learning,Improved efficiency and sustainability,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
BHP,AI in predictive maintenance & resource discovery,Operations,Machine Learning,Reduced downtime and improved energy efficiency,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Westpac,Generative AI for banking productivity,Financial Services,Generative AI,Delivered faster results to customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
PepsiCo,"AI in forecasting, logistics & R&D",Supply Chain,Machine Learning,Enhanced efficiency across operations,https://www.wsj.com/articles/ai-productivity-businesses-efficiency-7c2cf8b9
TAL,Microsoft Copilot for document summarization,Operations,Generative AI,Saved up to 6 hours per employee per week,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Commonwealth Bank,AI chatbot & fraud detection,Customer Support,Machine Learning,"Handled 50,000 inquiries/day and reduced fraud cases",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Abercrombie & Fitch,Global Data Cloud analytics,Retail,Data Analytics,Improved product assortment using customer insights,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
H&R Block,Generative tax assistant,Customer Support,Generative AI,Provided real-time tax filing answers to users,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Heritage Grocers,Personalized offers via Generative AI,Marketing/UX,Generative AI,"Optimized assortment by location, saved $500K",https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Walmart,AI-powered personalized search,Retail,Generative AI,Improved customer satisfaction and product discovery,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
City of Rome,Virtual AI tour guide,Public Services,Conversational AI,Provided tailored itineraries to tourists,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Ally Financial,AI-generated call summaries,Customer Support,Generative AI,Improved CSR productivity by 14%,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Telstra,AskTelstra generative AI assistant,Customer Support,Conversational AI,Streamlined customer interactions and reduced support time,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Bunnings,Ask Lionel in-store assistant,Retail,Conversational AI,Real-time product info for staff and customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
National Australia Bank,Generative AI for banking tasks,Financial Services,Generative AI,Freed banker time for customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Macquarie Group,Macquarie AI Chat internal assistant,Operations,Conversational AI,Used by 6000 staff weekly to boost productivity,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
ANZ,GitHub Copilot for code generation,Software Development,Code Generation,Engineers work up to 2× faster,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
KPMG Australia,KymChat internal AI agent,Operations,Conversational AI,"Saved 200,000+ staff hours annually",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Tyro Payments,AI agent for healthcare customer support,Customer Support,Conversational AI,45% of queries resolved without human agent,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Coles,Supply chain AI optimization,Supply Chain,Machine Learning,Enhanced decision-making in merchandise planning,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Rio Tinto,AI-driven operations in mining,Operations,Machine Learning,Improved efficiency and sustainability,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
BHP,AI in predictive maintenance & resource discovery,Operations,Machine Learning,Reduced downtime and improved energy efficiency,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Westpac,Generative AI for banking productivity,Financial Services,Generative AI,Delivered faster results to customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
PepsiCo,"AI in forecasting, logistics & R&D",Supply Chain,Machine Learning,Enhanced efficiency across operations,https://www.wsj.com/articles/ai-productivity-businesses-efficiency-7c2cf8b9
TAL,Microsoft Copilot for document summarization,Operations,Generative AI,Saved up to 6 hours per employee per week,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Commonwealth Bank,AI chatbot & fraud detection,Customer Support,Machine Learning,"Handled 50,000 inquiries/day and reduced fraud cases",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Abercrombie & Fitch,Global Data Cloud analytics,Retail,Data Analytics,Improved product assortment using customer insights,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
H&R Block,Generative tax assistant,Customer Support,Generative AI,Provided real-time tax filing answers to users,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Heritage Grocers,Personalized offers via Generative AI,Marketing/UX,Generative AI,"Optimized assortment by location, saved $500K",https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Walmart,AI-powered personalized search,Retail,Generative AI,Improved customer satisfaction and product discovery,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
City of Rome,Virtual AI tour guide,Public Services,Conversational AI,Provided tailored itineraries to tourists,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Ally Financial,AI-generated call summaries,Customer Support,Generative AI,Improved CSR productivity by 14%,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Telstra,AskTelstra generative AI assistant,Customer Support,Conversational AI,Streamlined customer interactions and reduced support time,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Bunnings,Ask Lionel in-store assistant,Retail,Conversational AI,Real-time product info for staff and customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
National Australia Bank,Generative AI for banking tasks,Financial Services,Generative AI,Freed banker time for customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Macquarie Group,Macquarie AI Chat internal assistant,Operations,Conversational AI,Used by 6000 staff weekly to boost productivity,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
ANZ,GitHub Copilot for code generation,Software Development,Code Generation,Engineers work up to 2× faster,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
KPMG Australia,KymChat internal AI agent,Operations,Conversational AI,"Saved 200,000+ staff hours annually",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Tyro Payments,AI agent for healthcare customer support,Customer Support,Conversational AI,45% of queries resolved without human agent,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Coles,Supply chain AI optimization,Supply Chain,Machine Learning,Enhanced decision-making in merchandise planning,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Rio Tinto,AI-driven operations in mining,Operations,Machine Learning,Improved efficiency and sustainability,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
BHP,AI in predictive maintenance & resource discovery,Operations,Machine Learning,Reduced downtime and improved energy efficiency,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Westpac,Generative AI for banking productivity,Financial Services,Generative AI,Delivered faster results to customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
PepsiCo,"AI in forecasting, logistics & R&D",Supply Chain,Machine Learning,Enhanced efficiency across operations,https://www.wsj.com/articles/ai-productivity-businesses-efficiency-7c2cf8b9
TAL,Microsoft Copilot for document summarization,Operations,Generative AI,Saved up to 6 hours per employee per week,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Commonwealth Bank,AI chatbot & fraud detection,Customer Support,Machine Learning,"Handled 50,000 inquiries/day and reduced fraud cases",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Abercrombie & Fitch,Global Data Cloud analytics,Retail,Data Analytics,Improved product assortment using customer insights,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
H&R Block,Generative tax assistant,Customer Support,Generative AI,Provided real-time tax filing answers to users,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Heritage Grocers,Personalized offers via Generative AI,Marketing/UX,Generative AI,"Optimized assortment by location, saved $500K",https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Walmart,AI-powered personalized search,Retail,Generative AI,Improved customer satisfaction and product discovery,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
City of Rome,Virtual AI tour guide,Public Services,Conversational AI,Provided tailored itineraries to tourists,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Ally Financial,AI-generated call summaries,Customer Support,Generative AI,Improved CSR productivity by 14%,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Telstra,AskTelstra generative AI assistant,Customer Support,Conversational AI,Streamlined customer interactions and reduced support time,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Bunnings,Ask Lionel in-store assistant,Retail,Conversational AI,Real-time product info for staff and customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
National Australia Bank,Generative AI for banking tasks,Financial Services,Generative AI,Freed banker time for customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Macquarie Group,Macquarie AI Chat internal assistant,Operations,Conversational AI,Used by 6000 staff weekly to boost productivity,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
ANZ,GitHub Copilot for code generation,Software Development,Code Generation,Engineers work up to 2× faster,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
KPMG Australia,KymChat internal AI agent,Operations,Conversational AI,"Saved 200,000+ staff hours annually",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Tyro Payments,AI agent for healthcare customer support,Customer Support,Conversational AI,45% of queries resolved without human agent,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Coles,Supply chain AI optimization,Supply Chain,Machine Learning,Enhanced decision-making in merchandise planning,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Rio Tinto,AI-driven operations in mining,Operations,Machine Learning,Improved efficiency and sustainability,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
BHP,AI in predictive maintenance & resource discovery,Operations,Machine Learning,Reduced downtime and improved energy efficiency,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Westpac,Generative AI for banking productivity,Financial Services,Generative AI,Delivered faster results to customers,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
PepsiCo,"AI in forecasting, logistics & R&D",Supply Chain,Machine Learning,Enhanced efficiency across operations,https://www.wsj.com/articles/ai-productivity-businesses-efficiency-7c2cf8b9
TAL,Microsoft Copilot for document summarization,Operations,Generative AI,Saved up to 6 hours per employee per week,https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Commonwealth Bank,AI chatbot & fraud detection,Customer Support,Machine Learning,"Handled 50,000 inquiries/day and reduced fraud cases",https://www.theaustralian.com.au/business/technology/how-aussie-companies-are-using-microsofts-ai-tools-to-transform-operations/news-story
Abercrombie & Fitch,Global Data Cloud analytics,Retail,Data Analytics,Improved product assortment using customer insights,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
H&R Block,Generative tax assistant,Customer Support,Generative AI,Provided real-time tax filing answers to users,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Heritage Grocers,Personalized offers via Generative AI,Marketing/UX,Generative AI,"Optimized assortment by location, saved $500K",https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Walmart,AI-powered personalized search,Retail,Generative AI,Improved customer satisfaction and product discovery,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
City of Rome,Virtual AI tour guide,Public Services,Conversational AI,Provided tailored itineraries to tourists,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
Ally Financial,AI-generated call summaries,Customer Support,Generative AI,Improved CSR productivity by 14%,https://blogs.microsoft.com/blog/2025/04/22/how-real-world-businesses-are-transforming-with-ai/
